Neighbor info at step 28000: radial(max=144,actual=130), angular(max=24,actual=24).
Neighbor info at step 29000: radial(max=144,actual=127), angular(max=24,actual=25).
Neighbor info at step 30000: radial(max=144,actual=134), angular(max=24,actual=23).
Neighbor info at step 31000: radial(max=144,actual=127), angular(max=24,actual=24).
Neighbor info at step 32000: radial(max=144,actual=128), angular(max=24,actual=23).
Neighbor info at step 33000: radial(max=144,actual=128), angular(max=24,actual=25).
Neighbor info at step 34000: radial(max=144,actual=128), angular(max=24,actual=25).
Neighbor info at step 35000: radial(max=144,actual=129), angular(max=24,actual=25).
Neighbor info at step 36000: radial(max=144,actual=132), angular(max=24,actual=27).
Neighbor info at step 37000: radial(max=144,actual=127), angular(max=24,actual=24).
Neighbor info at step 38000: radial(max=144,actual=131), angular(max=24,actual=26).
Neighbor info at step 39000: radial(max=144,actual=131), angular(max=24,actual=26).
Neighbor info at step 40000: radial(max=144,actual=129), angular(max=24,actual=29).
Neighbor info at step 41000: radial(max=144,actual=132), angular(max=24,actual=28).
Neighbor info at step 42000: radial(max=144,actual=130), angular(max=24,actual=29).
Neighbor info at step 43000: radial(max=144,actual=129), angular(max=24,actual=32).
Neighbor info at step 44000: radial(max=144,actual=129), angular(max=24,actual=29).
Neighbor info at step 45000: radial(max=144,actual=129), angular(max=24,actual=26).
Neighbor info at step 46000: radial(max=144,actual=130), angular(max=24,actual=29).
Neighbor info at step 47000: radial(max=144,actual=134), angular(max=24,actual=27).
Neighbor info at step 48000: radial(max=144,actual=132), angular(max=24,actual=28).
Neighbor info at step 49000: radial(max=144,actual=130), angular(max=24,actual=29).
Neighbor info at step 50000: radial(max=144,actual=132), angular(max=24,actual=28).
Neighbor info at step 51000: radial(max=144,actual=131), angular(max=24,actual=28).
Neighbor info at step 52000: radial(max=144,actual=133), angular(max=24,actual=27).
Neighbor info at step 53000: radial(max=144,actual=131), angular(max=24,actual=29).
Neighbor info at step 54000: radial(max=144,actual=131), angular(max=24,actual=28).
Neighbor info at step 55000: radial(max=144,actual=132), angular(max=24,actual=29).
Neighbor info at step 56000: radial(max=144,actual=132), angular(max=24,actual=29).
Neighbor info at step 57000: radial(max=144,actual=133), angular(max=24,actual=29).
Neighbor info at step 58000: radial(max=144,actual=132), angular(max=24,actual=30).
Neighbor info at step 59000: radial(max=144,actual=131), angular(max=24,actual=29).
Neighbor info at step 60000: radial(max=144,actual=133), angular(max=24,actual=29).
Neighbor info at step 61000: radial(max=144,actual=131), angular(max=24,actual=28).
Neighbor info at step 62000: radial(max=144,actual=134), angular(max=24,actual=29).
Neighbor info at step 63000: radial(max=144,actual=134), angular(max=24,actual=29).
Neighbor info at step 64000: radial(max=144,actual=131), angular(max=24,actual=31).
Neighbor info at step 65000: radial(max=144,actual=135), angular(max=24,actual=29).
Neighbor info at step 66000: radial(max=144,actual=135), angular(max=24,actual=29).
Neighbor info at step 67000: radial(max=144,actual=136), angular(max=24,actual=28).
Neighbor info at step 68000: radial(max=144,actual=139), angular(max=24,actual=31).
Neighbor info at step 69000: radial(max=144,actual=138), angular(max=24,actual=31).
Neighbor info at step 70000: radial(max=144,actual=141), angular(max=24,actual=28).
Neighbor info at step 71000: radial(max=144,actual=140), angular(max=24,actual=29).
Neighbor info at step 72000: radial(max=144,actual=141), angular(max=24,actual=30).
