Neighbor info at step 86000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 87000: radial(max=144,actual=110), angular(max=24,actual=17).
Neighbor info at step 88000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 89000: radial(max=144,actual=108), angular(max=24,actual=15).
Neighbor info at step 90000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 91000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 92000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 93000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 94000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 95000: radial(max=144,actual=108), angular(max=24,actual=14).
Neighbor info at step 96000: radial(max=144,actual=112), angular(max=24,actual=14).
Neighbor info at step 97000: radial(max=144,actual=111), angular(max=24,actual=16).
Neighbor info at step 98000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 99000: radial(max=144,actual=114), angular(max=24,actual=16).
Neighbor info at step 100000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 101000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 102000: radial(max=144,actual=107), angular(max=24,actual=15).
Neighbor info at step 103000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 104000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 105000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 106000: radial(max=144,actual=110), angular(max=24,actual=14).
Neighbor info at step 107000: radial(max=144,actual=109), angular(max=24,actual=18).
Neighbor info at step 108000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 109000: radial(max=144,actual=113), angular(max=24,actual=16).
Neighbor info at step 110000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 111000: radial(max=144,actual=108), angular(max=24,actual=14).
Neighbor info at step 112000: radial(max=144,actual=112), angular(max=24,actual=15).
Neighbor info at step 113000: radial(max=144,actual=111), angular(max=24,actual=16).
Neighbor info at step 114000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 115000: radial(max=144,actual=110), angular(max=24,actual=16).
Neighbor info at step 116000: radial(max=144,actual=109), angular(max=24,actual=16).
Neighbor info at step 117000: radial(max=144,actual=110), angular(max=24,actual=15).
Neighbor info at step 118000: radial(max=144,actual=109), angular(max=24,actual=15).
Neighbor info at step 119000: radial(max=144,actual=110), angular(max=24,actual=14).
Neighbor info at step 120000: radial(max=144,actual=111), angular(max=24,actual=15).
Neighbor info at step 121000: radial(max=144,actual=111), angular(max=24,actual=14).
Neighbor info at step 122000: radial(max=144,actual=108), angular(max=24,actual=16).
Neighbor info at step 123000: radial(max=144,actual=107), angular(max=24,actual=15).
